gpa,core_subject_score,academic_consistency,research_participation,programming_skill,domain_knowledge,tool_proficiency,certification_count,internship_count,internship_duration,industry_relevance,project_experience,communication_skill,teamwork_ability,leadership_potential,adaptability,learning_motivation,career_clarity,market_awareness,higher_study_interest,target_industry_code,workshop_participation,online_course_hours,networking_activity,learning_path_generation_time,employment_competitiveness_score,tech_score_avg,soft_score_avg,career_score_avg,readiness_level,readiness_encoded
-0.4860707325359428,66.0,2.14,1.0,48.0,51.0,35.0,2.0,3.0,13.0,0.09,5.0,92.0,65.0,50.0,90.0,50.0,89.0,93.0,0.0,7.0,6.0,243.4,23.0,8.98,30.55,-2.2806011735519673,0.6659835349831477,0.8039628256327507,Low Readiness,1
0.7300561979683698,83.0,1.22,0.0,54.0,52.0,79.0,5.0,3.0,3.9,1.0,5.0,66.0,79.0,89.0,81.0,77.0,36.0,88.0,1.0,3.0,5.0,96.5,55.0,6.21,66.03,-0.3234259852247557,1.1668512653161842,-0.17340374670510428,High Readiness,0
-1.238549270785487,87.0,2.16,0.0,79.0,95.0,47.0,3.0,2.0,5.1,0.89,0.0,66.0,48.0,60.0,88.0,73.0,86.0,86.0,0.0,3.0,3.0,220.0,63.0,7.17,47.25,0.827853537320663,-0.3079259406644231,1.2138262269357232,Medium Readiness,2
0.28921018566055745,65.0,2.15,0.0,65.0,82.0,91.0,2.0,2.0,8.2,0.0,5.0,50.0,75.0,96.0,73.0,56.0,33.0,95.0,1.0,6.0,6.0,117.8,54.0,4.57,43.92,0.6839435970024857,0.5825055799276416,-0.7093789637936053,Medium Readiness,2
-1.7021976630402567,80.0,0.98,0.0,56.0,49.0,87.0,0.0,0.0,17.7,0.11,5.0,78.0,96.0,36.0,56.0,81.0,54.0,55.0,1.0,2.0,4.0,218.5,37.0,4.92,26.42,-0.2082980329702138,-0.196622000590415,-0.5202112401153108,Low Readiness,1
-1.0409286445785362,83.0,1.4,1.0,74.0,98.0,35.0,0.0,4.0,1.6,0.87,2.0,60.0,77.0,77.0,41.0,65.0,61.0,91.0,0.0,5.0,10.0,40.5,60.0,9.17,37.39,0.30977775217522463,-0.5027078357939373,0.3310435164370142,Low Readiness,1
-1.1397389576820116,71.0,1.8,1.0,91.0,54.0,68.0,2.0,1.0,10.8,0.94,1.0,57.0,60.0,32.0,40.0,63.0,66.0,77.0,0.0,7.0,1.0,243.8,83.0,5.5,23.22,0.13708582379341183,-2.339222847015071,-0.015763976973191665,Low Readiness,1
-0.7292961186368057,89.0,1.74,0.0,44.0,56.0,41.0,0.0,4.0,7.5,0.05,5.0,60.0,91.0,79.0,82.0,60.0,32.0,97.0,0.0,5.0,3.0,153.0,81.0,8.45,31.77,-1.4171415316429035,1.083373310260678,-0.5517391940616935,Low Readiness,1
-0.2960508996446438,93.0,2.18,0.0,44.0,48.0,51.0,2.0,4.0,1.0,0.66,5.0,43.0,78.0,35.0,49.0,72.0,63.0,85.0,0.0,1.0,11.0,248.9,22.0,8.37,26.15,-1.2444496032610908,-1.8940070867190384,0.4256273782761615,Low Readiness,1
-0.7749008785307179,69.0,1.44,1.0,59.0,75.0,80.0,0.0,4.0,9.3,0.29,6.0,52.0,86.0,78.0,76.0,83.0,94.0,90.0,0.0,4.0,3.0,132.1,56.0,6.72,54.6,0.10830383572977635,0.5268536098906376,1.907441213756136,Medium Readiness,2
0.3196133589231646,83.0,2.46,0.0,54.0,62.0,52.0,4.0,3.0,9.1,0.25,3.0,57.0,59.0,52.0,87.0,89.0,37.0,77.0,0.0,6.0,6.0,210.0,60.0,11.48,42.17,-0.8127197823065586,-0.5027078357939373,-0.11034783881233895,Medium Readiness,2
-1.291754823995051,83.0,1.77,0.0,57.0,60.0,77.0,2.0,3.0,2.7,0.33,4.0,91.0,50.0,49.0,95.0,62.0,38.0,58.0,0.0,2.0,6.0,37.3,39.0,9.4,25.49,-0.06438809265203646,0.3320717147611234,-1.529105766399549,Low Readiness,1
-1.0865334044724475,74.0,0.64,0.0,43.0,56.0,38.0,4.0,1.0,3.5,0.67,7.0,66.0,45.0,31.0,75.0,65.0,99.0,44.0,1.0,6.0,9.0,31.9,24.0,1.01,19.06,-1.9639993048519775,-1.5600952664970142,0.0472919309195723,Low Readiness,1
-0.014821546965521883,76.0,0.85,0.0,81.0,78.0,81.0,2.0,0.0,4.5,0.39,7.0,99.0,45.0,74.0,70.0,99.0,62.0,57.0,1.0,7.0,1.0,74.0,44.0,5.22,56.07,1.0581094418297468,0.4155496698166295,0.3625714703833975,High Readiness,0
0.2588070123979489,65.0,2.21,0.0,84.0,80.0,31.0,0.0,0.0,3.1,0.25,1.0,58.0,72.0,69.0,94.0,77.0,83.0,49.0,0.0,5.0,4.0,88.7,58.0,4.16,26.49,-0.5536818897338395,0.5546795949091397,0.07881988486595563,Low Readiness,1
0.9960839640161895,70.0,1.11,0.0,85.0,79.0,32.0,0.0,2.0,0.4,0.59,5.0,79.0,95.0,82.0,55.0,69.0,43.0,50.0,0.0,4.0,9.0,176.9,73.0,7.25,47.33,-0.3809899613520266,1.055547325242176,-1.402993950614019,Medium Readiness,2
-0.7292961186368057,91.0,0.93,0.0,48.0,99.0,88.0,4.0,3.0,12.1,0.57,7.0,56.0,87.0,78.0,52.0,75.0,70.0,68.0,1.0,1.0,8.0,222.3,41.0,6.59,71.03,1.3459293224661015,-0.0018401054609008484,0.20493170065148492,High Readiness,0
-1.4361698969924377,74.0,0.57,0.0,69.0,78.0,99.0,3.0,1.0,9.4,0.48,5.0,60.0,93.0,61.0,64.0,75.0,31.0,67.0,1.0,5.0,10.0,72.2,97.0,1.85,51.03,1.1732373940842886,0.13728981963160927,-1.0561864572038127,Medium Readiness,2
